œµ∫≈	∏…÷ÿ
3	0.034
4	0.032
9	0.0408
10	0.0238
11	0.0339
12	0.0244
17	0.0352
18	0.0456
19	0.0216
20	0.0387
21	0.0222
22	0.0425
23	0.0492
24	0.0303
25	0.0211
26	0.0259
27	0.0312
28	0.02
29	0.059
30	0.0512
31	0.0428
32	0.04766
33	0.033
34	0.062
37	0.0972
38	0.0983
39	0.0306
40	0.05
45	0.034143
46	0.080111
47	0.0792
48	0.0424
49	0.081778
50	0.081044
59	0.0575
60	0.087
61	0.047833
62	0.066
67	0.047
68	0.05125
71	0.05
72	0.068333
75	0.063111
76	0.080429
79	0.038644
80	0.022333
81	0.070667
82	0.058511
85	0.069667
86	0.0716
89	0.023333
90	0.075571
91	0.2018
92	0.0351
99	0.01975
100	0.034714
103	0.024
104	0.0414
105	0.0295
106	0.051
109	0.0207
110	0.0451
