"xihao" "t1" "t2" "t3" "t4" "t5" "t6" "t7" "t8" "t9"
"1" 1 20 28 48 50 65 70 73 76 79
"2" 3 36 46 64 75 98 120 126 132 138
"3" 4 36 44 65 76 84 88 89 90 91
"4" 5 24 43 55 68 89 97 99 101 103
"5" 6 36 44 56 68 73 81 83 85 87
"6" 9 36 43 53 64 79 89 93 97 101
"7" 10 28 47 50 53 69 75 77 79 81
"8" 11 38 42 59 69 81 87 90 93 96
"9" 12 40 46 56 68 83 88 92 96 100
"10" 13 38 44 61 73 93 98 102 106 110
"11" 14 32 45 59 66 71 82 85 88 91
"12" 15 30 46 63 69 82 89 93 97 101
"13" 16 34 45 60 73 88 96 101 106 111
"14" 17 40 47 63 72 95 109 118 127 136
"15" 18 38 47 67 76 97 108 112 116 120
"16" 19 40 48 67 86 95 100 101 102 103
"17" 20 40 53 70 83 91 106 114 122 130
"18" 21 28 40 50 57 66 69 71 73 75
"19" 23 38 48 62 79 87 102 109 116 123
"20" 24 30 46 61 78 91 112 121 130 139
"21" 25 36 49 67 98 116 116 116 116 116
"22" 26 38 44 61 92 97 97 97 97 97
"23" 27 36 48 71 81 93 103 108 113 118
"24" 29 34 49 64 86 91 101 105 109 113
"25" 30 34 52 71 91 102 114 119 124 129
"26" 31 24 42 55 68 74 81 84 87 90
"27" 32 24 47 63 83 88 102 108 114 120
"28" 33 28 47 69 72 75 78 78 78 78
"29" 34 26 42 54 59 65 69 69 69 69
"30" 35 38 47 62 79 93 104 110 116 122
"31" 36 34 47 60 78 92 106 111 116 121
"32" 37 30 51 68 91 110 125 131 137 143
"33" 38 38 46 64 87 105 120 126 132 138
"34" 39 34 46 62 76 85 99 103 107 111
"35" 40 22 40 54 65 78 86 90 94 98
"36" 42 40 45 64 86 102 116 128 135 135
"37" 43 38 45 68 85 106 127 145 152 154
"38" 44 27 40 52 62 82 98 104 111 111
"39" 45 28 42 64 80 88 104 112 118 118
"40" 46 38 41 59 80 97 114 123 131 131
"41" 47 22 40 55 75 97 112 119 126 127
"42" 48 32 40 59 83 101 113 121 126 126
"43" 49 38 46 71 92 111 123 134 141 141
"44" 50 39 47 67 89 102 114 130 138 138
"45" 51 36 47 66 81 106 123 142 158 158
"46" 53 24 40 54 67 71 75 88 96 97
"47" 54 30 41 60 75 79 83 99 108 108
"48" 55 30 41 56 72 82 86 91 93 96
"49" 56 25 40 49 64 85 94 101 104 113
"50" 57 22 40 43 59 69 86 101 112 112
"51" 58 25 40 49 64 85 94 101 104 113
"52" 59 20 40 49 58 78 91 98 107 107
"53" 60 26 41 57 76 100 114 127 132 132
"54" 61 22 42 56 62 75 92 104 108 109
"55" 62 22 41 51 67 81 91 110 120 120
"56" 63 22 41 56 67 77 86 90 90 90
"57" 64 24 41 53 69 78 85 88 88 88
"58" 65 24 40 52 68 89 97 98 98 98
"59" 66 20 45 62 82 103 121 135 135 135
"60" 67 30 41 50 63 74 84 88 88 88
"61" 68 38 43 55 58 66 71 78 78 78
"62" 71 29 41 45 48 53 54 54 54 54
"63" 72 30 40 43 49 56 57 57 57 57
"64" 73 32 43 61 75 94 106 106 106 106
"65" 74 36 48 68 86 97 105 105 105 105
"66" 75 20 40 56 70 88 100 104 113 120
"67" 76 28 41 57 82 99 112 122 127 127
"68" 77 28 40 59 68 78 89 89 89 89
"69" 78 38 42 64 83 103 118 118 118 118
"70" 79 20 40 56 75 91 109 117 139 139
"71" 80 22 40 49 62 71 80 87 88 88
"72" 81 24 40 50 68 78 93 108 118 118
"73" 82 21 41 47 54 61 68 79 81 81
"74" 83 32 40 56 74 90 108 119 126 126
"75" 84 30 41 55 73 80 89 94 101 101
"76" 85 36 42 60 76 92 104 115 122 122
"77" 86 20 40 53 68 86 101 111 115 115
"78" 87 30 40 62 86 104 118 142 156 156
"79" 88 38 42 57 71 76 86 92 95 95
"80" 89 36 41 56 68 76 86 88 89 89
"81" 90 34 40 55 63 73 82 93 96 96
"82" 91 36 41 51 71 92 107 131 140 164
"83" 92 34 40 59 72 77 87 106 112 115
"84" 93 28 40 54 66 76 87 104 112 112
"85" 94 32 43 61 81 95 111 126 142 142
"86" 95 20 40 54 73 91 103 124 142 142
"87" 96 26 40 50 63 71 81 85 93 93
"88" 97 26 40 53 67 81 91 100 108 108
"89" 99 30 40 62 73 77 82 87 93 93
"90" 100 34 40 54 67 75 87 96 111 111
"91" 101 20 41 46 57 69 81 81 81 81
"92" 102 26 40 55 57 63 69 70 70 70
"93" 103 28 40 51 70 89 100 100 100 100
"94" 104 20 42 56 71 85 100 100 100 100
"95" 105 20 40 40 51 64 70 70 70 70
"96" 106 20 40 47 53 63 70 73 73 73
"97" 107 20 41 48 64 81 95 97 97 97
"98" 109 20 42 59 69 78 84 84 84 84
"99" 110 20 46 61 74 83 94 94 94 94
"100" 111 20 40 47 63 78 90 94 94 94
"101" 112 26 40 52 61 69 81 81 81 81
"102" 113 20 40 46 61 72 83 83 83 83
"103" 114 24 41 52 71 85 97 104 104 104
